"spygen_code","set"
"SPY231669","train"
"SPY231670","train"
"SPY231681","train"
"SPY231682","train"
"SPY231697","train"
"SPY231698","train"
"SPY201150","train"
"SPY201152","train"
"SPY201157","train"
"SPY201158","train"
"SPY231699","train"
"SPY231700","train"
"SPY231701","train"
"SPY231702","train"
"SPY231911","train"
"SPY231912","train"
"SPY231671","train"
"SPY231672","train"
"SPY231673","train"
"SPY231674","train"
"SPY231750","train"
"SPY231751","train"
"SPY231752","train"
"SPY231753","train"
"SPY211059","train"
"SPY211060","train"
"SPY200806","train"
"SPY200807","train"
"SPY231731","train"
"SPY231732","train"
"SPY210650","train"
"SPY201216","train"
"SPY201263","train"
"SPY210655","train"
"SPY210656","train"
"SPY210660","train"
"SPY231733","train"
"SPY231734","train"
"SPY231758","train"
"SPY231759","train"
"SPY222970","train"
"SPY222972","train"
"SPY222973","train"
"SPY222974","train"
"SPY181149","train"
"SPY181150","train"
"SPY231893","train"
"SPY231894","train"
"SPY201175","train"
"SPY201191","train"
"SPY202496","train"
"SPY202498","train"
"SPY201952","train"
"SPY201962","train"
"SPY210649","train"
"SPY212768","train"
"SPY200468","train"
"SPY200474","train"
"SPY201953","train"
"SPY201961","train"
"SPY210637","train"
"SPY210654","train"
"SPY212760","train"
"SPY212762","train"
"SPY212763","train"
"SPY212764","train"
"SPY212765","train"
"SPY212766","train"
"SPY212767","train"
"SPY212769","train"
"SPY231660","train"
"SPY231661","train"
"SPY231662","train"
"SPY231663","train"
"SPY231664","train"
"SPY231762","validation"
"SPY231763","validation"
"SPY231764","validation"
"SPY231765","validation"
"SPY231766","validation"
"SPY231767","validation"
"SPY231768","validation"
"SPY231769","validation"
"SPY231770","validation"
"SPY231771","validation"
"SPY231772","validation"
"SPY231773","validation"
"SPY231899","validation"
"SPY231900","validation"
"SPY231901","validation"
"SPY231902","validation"
"SPY223325","validation"
"SPY223333","validation"
"SPY224252","validation"
"SPY224256","validation"
"SPY201164","validation"
"SPY201958","validation"
"SPY202493","validation"
"SPY202510","validation"
"SPY202515","validation"
"SPY210646","validation"
"SPY210681","validation"
"SPY210682","validation"
"SPY210684","validation"
"SPY210685","validation"
"SPY210686","validation"
"SPY210687","validation"
"SPY210688","validation"
"SPY210690","validation"
"SPY210691","validation"
"SPY210692","validation"
"SPY210694","validation"
"SPY211301","validation"
"SPY211310","validation"
"SPY231885","validation"
"SPY231886","validation"
"SPY211069","validation"
"SPY211070","validation"
"SPY211071","validation"
"SPY211072","validation"
"SPY231691","validation"
"SPY231692","validation"
"SPY231693","validation"
"SPY231694","validation"
"SPY231913","validation"
"SPY231914","validation"
"SPY201239","validation"
"SPY201241","validation"
"SPY201174","validation"
"SPY201181","validation"
"SPY201187","validation"
"SPY201192","validation"
"SPY201198","validation"
"SPY202491","validation"
"SPY202495","validation"
"SPY202500","validation"
"SPY231683","validation"
"SPY231684","validation"
"SPY231685","validation"
"SPY231686","validation"
"SPY231687","validation"
"SPY231688","validation"
"SPY231689","validation"
"SPY231690","validation"
"SPY231760","validation"
"SPY231761","validation"
"SPY231887","validation"
"SPY231888","validation"
