spygen_code,habitat
SPY211301,NOT_DEFINED
SPY211310,NOT_DEFINED
SPY211311,NOT_DEFINED
SPY212584,NOT_DEFINED
SPY212585,NOT_DEFINED
SPY212586,NOT_DEFINED
SPY212587,NOT_DEFINED
SPY212588,HARD_BOTTOM
SPY212589,HARD_BOTTOM
SPY231655,SOFT_BOTTOM
SPY231656,SOFT_BOTTOM
SPY231657,SOFT_BOTTOM
SPY231658,SOFT_BOTTOM
SPY231659,SOFT_BOTTOM
SPY231660,SOFT_BOTTOM
SPY231661,SOFT_BOTTOM
SPY231662,SOFT_BOTTOM
SPY231663,SOFT_BOTTOM
SPY231664,SOFT_BOTTOM
SPY231665,SOFT_BOTTOM
SPY231666,SOFT_BOTTOM
SPY231667,SOFT_BOTTOM
SPY231668,SOFT_BOTTOM
SPY231669,SOFT_BOTTOM
SPY231670,SOFT_BOTTOM
SPY231671,SOFT_BOTTOM
SPY231672,SOFT_BOTTOM
SPY231673,SOFT_BOTTOM
SPY231674,SOFT_BOTTOM
SPY231675,SOFT_BOTTOM
SPY231676,SOFT_BOTTOM
SPY231677,SOFT_BOTTOM
SPY231678,SOFT_BOTTOM
SPY231679,SOFT_BOTTOM
SPY231680,SOFT_BOTTOM
SPY231681,SOFT_BOTTOM
SPY231682,SOFT_BOTTOM
SPY231683,SOFT_BOTTOM
SPY231684,SOFT_BOTTOM
SPY231685,SOFT_BOTTOM
SPY231686,SOFT_BOTTOM
SPY231687,SOFT_BOTTOM
SPY231688,SOFT_BOTTOM
SPY231689,SOFT_BOTTOM
SPY231690,SOFT_BOTTOM
SPY231691,SOFT_BOTTOM
SPY231692,SOFT_BOTTOM
SPY231693,SOFT_BOTTOM
SPY231694,SOFT_BOTTOM
SPY231695,SOFT_BOTTOM
SPY231696,SOFT_BOTTOM
SPY231697,SOFT_BOTTOM
SPY231698,SOFT_BOTTOM
SPY231699,SOFT_BOTTOM
SPY231700,SOFT_BOTTOM
SPY231701,SOFT_BOTTOM
SPY231702,SOFT_BOTTOM
SPY231703,SOFT_BOTTOM
SPY231704,SOFT_BOTTOM
SPY231705,SOFT_BOTTOM
SPY231706,SOFT_BOTTOM
SPY231707,SOFT_BOTTOM
SPY231708,SOFT_BOTTOM
SPY231709,SOFT_BOTTOM
SPY231710,SOFT_BOTTOM
SPY231711,SOFT_BOTTOM
SPY231712,SOFT_BOTTOM
SPY231713,SOFT_BOTTOM
SPY231714,SOFT_BOTTOM
SPY231715,SOFT_BOTTOM
SPY231716,SOFT_BOTTOM
SPY231717,SOFT_BOTTOM
SPY231718,SOFT_BOTTOM
SPY231719,SOFT_BOTTOM
SPY231720,SOFT_BOTTOM
SPY231721,SOFT_BOTTOM
SPY231722,SOFT_BOTTOM
SPY231723,SOFT_BOTTOM
SPY231724,SOFT_BOTTOM
SPY231725,SOFT_BOTTOM
SPY231726,SOFT_BOTTOM
SPY231727,SOFT_BOTTOM
SPY231728,SOFT_BOTTOM
SPY231729,SOFT_BOTTOM
SPY231730,SOFT_BOTTOM
SPY231731,SOFT_BOTTOM
SPY231732,SOFT_BOTTOM
SPY231733,SOFT_BOTTOM
SPY231734,SOFT_BOTTOM
SPY231735,SOFT_BOTTOM
SPY231736,SOFT_BOTTOM
SPY231737,SOFT_BOTTOM
SPY231738,SOFT_BOTTOM
SPY231739,SOFT_BOTTOM
SPY231740,SOFT_BOTTOM
SPY231741,SOFT_BOTTOM
SPY231742,SOFT_BOTTOM
SPY231743,SOFT_BOTTOM
SPY231744,SOFT_BOTTOM
SPY231745,SOFT_BOTTOM
SPY231746,SOFT_BOTTOM
SPY231747,SOFT_BOTTOM
SPY231748,SOFT_BOTTOM
SPY231749,SOFT_BOTTOM
SPY231750,SOFT_BOTTOM
SPY231751,SOFT_BOTTOM
SPY231752,SOFT_BOTTOM
SPY231753,SOFT_BOTTOM
SPY231754,SOFT_BOTTOM
SPY231755,SOFT_BOTTOM
SPY231756,SOFT_BOTTOM
SPY231757,SOFT_BOTTOM
SPY231758,SOFT_BOTTOM
SPY231759,SOFT_BOTTOM
SPY231760,SOFT_BOTTOM
SPY231761,SOFT_BOTTOM
SPY231762,SOFT_BOTTOM
SPY231763,SOFT_BOTTOM
SPY231764,SOFT_BOTTOM
SPY231765,SOFT_BOTTOM
SPY231766,SOFT_BOTTOM
SPY231767,SOFT_BOTTOM
SPY231768,SOFT_BOTTOM
SPY231769,SOFT_BOTTOM
SPY231770,SOFT_BOTTOM
SPY231771,SOFT_BOTTOM
SPY231772,SOFT_BOTTOM
SPY231773,SOFT_BOTTOM
SPY231774,SOFT_BOTTOM
SPY231775,SOFT_BOTTOM
SPY231776,SOFT_BOTTOM
SPY231777,SOFT_BOTTOM
SPY231778,SOFT_BOTTOM
SPY231779,SOFT_BOTTOM
SPY231780,SOFT_BOTTOM
SPY231781,SOFT_BOTTOM
SPY231782,SOFT_BOTTOM
SPY231783,SOFT_BOTTOM
SPY231784,SOFT_BOTTOM
SPY231785,SOFT_BOTTOM
SPY231786,SOFT_BOTTOM
SPY231787,SOFT_BOTTOM
SPY231788,SOFT_BOTTOM
SPY231789,SOFT_BOTTOM
SPY231790,SOFT_BOTTOM
SPY231791,SOFT_BOTTOM
SPY231792,SOFT_BOTTOM
SPY231793,SOFT_BOTTOM
SPY231794,SOFT_BOTTOM
SPY231795,SOFT_BOTTOM
SPY231796,SOFT_BOTTOM
SPY231797,SOFT_BOTTOM
SPY231798,SOFT_BOTTOM
SPY231885,HARD_BOTTOM
SPY231886,HARD_BOTTOM
SPY231897,HARD_BOTTOM
SPY231898,HARD_BOTTOM
SPY231903,HARD_BOTTOM
SPY231904,HARD_BOTTOM
SPY231905,MEADOW
SPY231906,MEADOW
SPY231907,MEADOW
SPY231908,MEADOW
SPY231909,HARD_BOTTOM
SPY231910,HARD_BOTTOM
SPY231913,MEADOW
SPY231914,MEADOW
SPY231915,MEADOW
SPY231916,MEADOW
SPY210643,MEADOW
SPY210644,MEADOW
SPY210648,MEADOW
SPY210651,SOFT_BOTTOM
SPY210671,MEADOW
SPY231889,MEADOW
SPY231890,MEADOW
SPY231891,HARD_BOTTOM
SPY231892,HARD_BOTTOM
SPY200468,NOT_DEFINED
SPY200474,NOT_DEFINED
SPY201952,NOT_DEFINED
SPY201953,MEADOW
SPY201961,NOT_DEFINED
SPY201962,NOT_DEFINED
SPY210637,NOT_DEFINED
SPY210649,MEADOW
SPY210654,MEADOW
SPY211052,HARD_BOTTOM
SPY211058,HARD_BOTTOM
SPY212760,NOT_DEFINED
SPY212762,MEADOW
SPY212763,MEADOW
SPY212764,MEADOW
SPY212765,NOT_DEFINED
SPY212766,MEADOW
SPY212767,NOT_DEFINED
SPY212768,MEADOW
SPY212769,NOT_DEFINED
SPY210672,MEADOW
SPY232832,MEADOW
SPY232835,MEADOW
SPY201174,MEADOW
SPY201181,MEADOW
SPY201187,MEADOW
SPY201192,MEADOW
SPY201198,MEADOW
SPY202491,MEADOW
SPY202495,MEADOW
SPY202500,MEADOW
SPY181149,NOT_DEFINED
SPY181150,NOT_DEFINED
SPY201172,NOT_DEFINED
SPY201185,NOT_DEFINED
SPY222967,NOT_DEFINED
SPY222969,NOT_DEFINED
SPY222970,NOT_DEFINED
SPY222972,NOT_DEFINED
SPY222973,NOT_DEFINED
SPY222974,NOT_DEFINED
SPY222977,NOT_DEFINED
SPY231865,SOFT_BOTTOM
SPY231870,SOFT_BOTTOM
SPY231871,SOFT_BOTTOM
SPY231873,SOFT_BOTTOM
SPY231874,SOFT_BOTTOM
SPY231877,SOFT_BOTTOM
SPY231878,SOFT_BOTTOM
SPY231893,HARD_BOTTOM
SPY231894,HARD_BOTTOM
SPY231895,MEADOW
SPY231896,MEADOW
SPY201153,HARD_BOTTOM
SPY201161,MEADOW
SPY201162,HARD_BOTTOM
SPY201164,MEADOW
SPY201169,MEADOW
SPY201180,HARD_BOTTOM
SPY201186,HARD_BOTTOM
SPY201190,MEADOW
SPY202493,MEADOW
SPY202506,MEADOW
SPY202509,MEADOW
SPY202510,MEADOW
SPY202514,MEADOW
SPY202515,MEADOW
SPY211263,HARD_BOTTOM
SPY211275,NOT_DEFINED
SPY211279,NOT_DEFINED
SPY211282,NOT_DEFINED
SPY211284,NOT_DEFINED
SPY211286,NOT_DEFINED
SPY211289,HARD_BOTTOM
SPY211290,HARD_BOTTOM
SPY211299,HARD_BOTTOM
SPY211303,HARD_BOTTOM
SPY211304,HARD_BOTTOM
SPY211306,NOT_DEFINED
SPY231887,MEADOW
SPY231888,MEADOW
SPY200806,NOT_DEFINED
SPY200807,NOT_DEFINED
SPY211059,MEADOW
SPY211060,MEADOW
SPY211051,MEADOW
SPY211063,MEADOW
SPY223325,HARD_BOTTOM
SPY223333,HARD_BOTTOM
SPY224252,HARD_BOTTOM
SPY224256,HARD_BOTTOM
SPY232833,MEADOW
SPY232834,MEADOW
SPY210723,MEADOW
SPY201239,NOT_DEFINED
SPY201241,NOT_DEFINED
SPY211045,HARD_BOTTOM
SPY211046,HARD_BOTTOM
SPY181699,NOT_DEFINED
SPY192310,NOT_DEFINED
SPY201163,NOT_DEFINED
SPY211048,MEADOW
SPY211049,HARD_BOTTOM
SPY211050,HARD_BOTTOM
SPY211054,MEADOW
SPY211055,MEADOW
SPY211062,MEADOW
SPY211138,HARD_BOTTOM
SPY211163,NOT_DEFINED
SPY211168,NOT_DEFINED
SPY211169,NOT_DEFINED
SPY211170,NOT_DEFINED
SPY211172,NOT_DEFINED
SPY211173,NOT_DEFINED
SPY211174,NOT_DEFINED
SPY211177,NOT_DEFINED
SPY211178,NOT_DEFINED
SPY211180,NOT_DEFINED
SPY211181,NOT_DEFINED
SPY211182,NOT_DEFINED
SPY211183,NOT_DEFINED
SPY211184,NOT_DEFINED
SPY212710,NOT_DEFINED
SPY212711,NOT_DEFINED
SPY212712,NOT_DEFINED
SPY212713,NOT_DEFINED
SPY212714,NOT_DEFINED
SPY212715,NOT_DEFINED
SPY212716,NOT_DEFINED
SPY212717,NOT_DEFINED
SPY212718,NOT_DEFINED
SPY212719,NOT_DEFINED
SPY212756,NOT_DEFINED
SPY212758,NOT_DEFINED
SPY212759,NOT_DEFINED
SPY201175,MEADOW
SPY201176,MEADOW
SPY201179,MEADOW
SPY201191,MEADOW
SPY202492,MEADOW
SPY202496,MEADOW
SPY202498,MEADOW
SPY202499,MEADOW
SPY211266,MEADOW
SPY211280,MEADOW
SPY211285,MEADOW
SPY211300,NOT_DEFINED
SPY211302,NOT_DEFINED
SPY211068,MEADOW
SPY211073,MEADOW
SPY211071,MEADOW
SPY211072,MEADOW
SPY231899,HARD_BOTTOM
SPY231900,HARD_BOTTOM
SPY231901,MEADOW
SPY231902,MEADOW
SPY201149,MEADOW
SPY201150,MEADOW
SPY201151,MEADOW
SPY201152,MEADOW
SPY201157,MEADOW
SPY201158,MEADOW
SPY201177,MEADOW
SPY201193,MEADOW
SPY231911,HARD_BOTTOM
SPY231912,HARD_BOTTOM
SPY201159,HARD_BOTTOM
SPY201160,MEADOW
SPY201166,HARD_BOTTOM
SPY201167,MEADOW
SPY201168,SOFT_BOTTOM
SPY201170,SOFT_BOTTOM
SPY201171,MEADOW
SPY201216,MEADOW
SPY201263,MEADOW
SPY202494,MEADOW
SPY211268,NOT_DEFINED
SPY211274,MEADOW
SPY211278,MEADOW
SPY211305,NOT_DEFINED
SPY211307,NOT_DEFINED
SPY211309,NOT_DEFINED
SPY210647,MEADOW
SPY210652,MEADOW
SPY232830,MEADOW
SPY232831,MEADOW
SPY211069,HARD_BOTTOM
SPY211070,HARD_BOTTOM
